"anonid" "setname" "item" "color1" "color2" "color3" "timing1" "timing2" "timing3"
"169" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "05" "#7E738C" "#82847B" "#7E847B" 8806 11781 6973
"170" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "15" "#8F8C70" "#82837C" "#848A75" 5519 10420 12846
"171" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "01" "#926D88" "#80807F" "#7C837D" 6938 9270 10102
"172" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "06" "#8F6D92" "#7E827D" "#7C8083" 10041 12446 9999
"173" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "04" "#7C837F" "#7F8A75" "#81807E" 12033 15854 12332
"174" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "10" "#788782" "#7C7689" "#847B81" 6572 8336 8826
"175" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "16" "#7E8B74" "#807F7F" "#86797F" 8718 9692 7062
"176" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "07" "#71926D" "#808080" "#827887" 8119 22106 6862
"177" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "12" NA NA NA 5444 875 593
"178" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "09" NA NA NA 2390 428 790
"179" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "14" NA NA NA 3253 1907 785
"180" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "13" NA NA NA 2561 1982 1261
"181" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "08" NA NA NA 1452 902 923
"182" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "02" "#FEFEFE" NA "#808080" 10002 2105 12662
"183" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "03" NA "#FFFFFF" NA 7540 7316 968
"184" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "11" NA NA NA 2005 898 666
"185" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "05" NA NA NA 1757 1081 573
"186" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "15" NA NA NA 1323 756 658
"187" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "01" "#F6FFFF" "#FFFFFF" "#FFFFFF" 5137 6144 4450
"188" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "06" NA NA NA 1482 1435 1179
"189" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "04" NA NA NA 1021 957 1091
"190" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "10" NA NA NA 760 638 749
"191" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "16" "#FDFEFE" "#FFFFFF" "#FFFFFF" 3564 7773 4809
"192" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "set1" "07" NA NA NA 851 857 2693
"193" "02ffadc7-35bf-4d55-a2c2-394a58d8530d" "set1" "12" "#1319EC" "#090DF6" "#272AD8" 11568 5040 2445
"194" "02ffadc7-35bf-4d55-a2c2-394a58d8530d" "set1" "09" "#941BE4" "#3231CE" "#1548EA" 6674 7766 7701
"195" "02ffadc7-35bf-4d55-a2c2-394a58d8530d" "set1" "14" "#781DE2" "#2D25DA" "#2D2FD2" 6773 3002 5989
"196" "02ffadc7-35bf-4d55-a2c2-394a58d8530d" "set1" "13" "#7D29D6" "#3933CC" "#3535CA" 11705 2352 4061
"197" "02ffadc7-35bf-4d55-a2c2-394a58d8530d" "set1" "08" "#511CE3" "#0710F8" "#1405FA" 8380 2251 2607
"198" "02ffadc7-35bf-4d55-a2c2-394a58d8530d" "set1" "02" "#4433CC" "#17C6E8" "#11B6EE" 2781 3250 4859
"199" "02ffadc7-35bf-4d55-a2c2-394a58d8530d" "set1" "03" "#228EDD" "#1BB8E4" "#1C7AE3" 6107 3211 2978
"200" "02ffadc7-35bf-4d55-a2c2-394a58d8530d" "set1" "11" "#6927D8" "#2C29D6" "#0D0EF2" 7324 2452 4387
"201" "02ffadc7-35bf-4d55-a2c2-394a58d8530d" "set1" "05" "#25A7DA" "#21A2DE" "#18B2E7" 7786 3667 3966
